name	country	lat	lon	timezone
Pilar	AR	-34.45867	-58.91398	America/Argentina/Buenos_Aires
Paso de los Libres	AR	-29.71251	-57.08771	America/Argentina/Cordoba
Oberá	AR	-27.48683	-55.11994	America/Argentina/Cordoba
Nogoyá	AR	-32.39375	-59.78955	America/Argentina/Cordoba
Necochea	AR	-38.5545	-58.73961	America/Argentina/Buenos_Aires
Navarro	AR	-35.00587	-59.27828	America/Argentina/Buenos_Aires
Muñiz	AR	-34.55622	-58.70739	America/Argentina/Buenos_Aires
Morón	AR	-34.65118	-58.62205	America/Argentina/Buenos_Aires
Monte Chingolo	AR	-34.7296	-58.35421	America/Argentina/Buenos_Aires
Monte Caseros	AR	-30.2518	-57.63537	America/Argentina/Cordoba
Montecarlo	AR	-26.56849	-54.7579	America/Argentina/Cordoba
Miramar	AR	-38.27161	-57.8389	America/Argentina/Buenos_Aires
Merlo	AR	-34.66536	-58.72744	America/Argentina/Buenos_Aires
Mercedes	AR	-34.65072	-59.43143	America/Argentina/Buenos_Aires
Mercedes	AR	-29.18416	-58.07519	America/Argentina/Cordoba
Haedo	AR	-34.64239	-58.59212	America/Argentina/Buenos_Aires
Mar del Tuyú	AR	-36.57429	-56.6939	America/Argentina/Buenos_Aires
Mar del Plata	AR	-38.00042	-57.5562	America/Argentina/Buenos_Aires
Mar de Ajó	AR	-36.72881	-56.68265	America/Argentina/Buenos_Aires
Magdalena	AR	-35.07997	-57.51368	America/Argentina/Buenos_Aires
Luján	AR	-34.5664	-59.11478	America/Argentina/Buenos_Aires
Los Polvorines	AR	-34.50316	-58.70596	America/Argentina/Buenos_Aires
Lomas de Zamora	AR	-34.7574	-58.40279	America/Argentina/Buenos_Aires
Lobos	AR	-35.18537	-59.09788	America/Argentina/Buenos_Aires
Leandro N. Alem	AR	-27.60376	-55.32365	America/Argentina/Cordoba
Las Flores	AR	-36.01427	-59.09986	America/Argentina/Buenos_Aires
La Plata	AR	-34.92126	-57.95442	America/Argentina/Buenos_Aires
La Paz	AR	-30.74179	-59.64517	America/Argentina/Cordoba
Lanús	AR	-34.70757	-58.39132	America/Argentina/Buenos_Aires
Jardín América	AR	-27.04346	-55.22698	America/Argentina/Cordoba
Ituzaingó	AR	-27.58504	-56.68707	America/Argentina/Cordoba
